identifier,text,fr,es-ES,es-419,it,pt-PT,pt-BR,de,pl,tr,ru,ja,ko,zh-CN,zh-TW
RESULTS_MEDAL_DEV,You got a Secret Ace medal!,,,,,,,,,,,,,,
RESULTS_MEDAL_EMERALD,You got an Emerald medal!,,¡Tienes una medalla de esmeralda!,¡Tienes una medalla de esmeralda!,,,Você recebeu uma medalha de Esmeralda!,Du hast eine Smaragd-Medaille erhalten!,Zdobywasz Szamargowy medal!!,,,エメラルドメダルを入手！,,,
RESULTS_MEDAL_AMETHYST,You got an Amethyst medal!,,¡Tienes una medalla de amatista!,¡Tienes una medalla de amatista!,,,Você recebeu uma medalha de Ametista!,Du hast eine Amethyst-Medaille erhalten!,Zdobywasz Ametystowy medal!!,,,アメジストメダルを入手！,,,
RESULTS_MEDAL_SAPPHIRE,You got a Sapphire medal!,,¡Tienes una medalla de zafiro!,¡Tienes una medalla de zafiro!,,,Você recebeu uma medalha de Safira!,Du hast eine Saphir-Medaille erhalten!,Zodbywasz Szafirowy medal!!,,,サファイアメダルを入手！,,,
RESULTS_MEDAL_MODDED_INSIGHT,Modded medals unlock Insight level 4,,Medallas de NeonLite conseguida y desbloqueado el nivel de conocimiento 4,Medallas de NeonLite conseguida y desbloqueado el nivel de conocimiento 4,,,As medalhas do NeonLite desbloqueiam o Nível de Insight 4,NeonLite Medaillien schalten Einsichtslevel 4 frei,Zmodyfikowane medale odblokowują poziom 4 Wiedzy,,,ネオンライトメダルでインサイトレベル4をアンロック,,,
RESULTS_NEWBEST_WR,World Record!,,,,,,,,,,,,,,
BUTTON_COPYPBS,Copy All PB Times,,Copiar Mis Tiempos,Copiar Mis Tiempos,,,Copiar Todos os PBs,Kopiere deine PB - Zeiten,Skopiuj swoje najlepsze wyniki,,,全レベルの自己ベストタイムをコピーする,,,
BUTTON_COPIED,Copied!,,¡Copiado!,¡Copiado!,,,Copiados!,Kopiert,Skopiowano!,,,コピーしました！,,,
BUTTON_GHOSTDIRECTORY,Open Ghost Directory,,Abrir Ubicación del Fantasma,Abrir Ubicación del Fantasma,,,Abrir Diretório de Fantasmas,Öffne Ghost Ordner,Otwórz katalog z duchami,,,Ghostフォルダを開く,,,
DNF,DNF: {0},,,,,,,,,,,,,,
INFO_ATTEMPTS_TOTAL,Total Attempts: {0},,Intentos totales: {0},Intentos totales: {0},,,Tentativas Totais: {0},Gesamt Versuche: {0},Wszystkie próby: {0},,,,,,
INFO_ATTEMPTS_THIS,Attempts: {0}/{1},,Intentos: {0}/{1},Intentos: {0}/{1},,,Tentativas: {0}/{1},Versuche: {0}/{1},Próby: {0}/{1},,,,,,
INFO_ATTEMPTS_THIS_NC,Attempts: {1},,Intentos: {1},Intentos: {1},,,Tentativas: {1},Versuche: {1},Próby:  {1},,,,,,
INFO_SESSIONPB,SessionPB: {0},,,,,,,,,,,,,,
SPEEDOMETER_VELOCITY,Velocity: {0},,Velocidad: {0},,,,Velocidade: {0},Geschwindigkeit: {0},Predkosc: {0},,,,,,
SPEEDOMETER_YVEL,Y: {0},,,,,,,,,,,,,,
SPEEDOMETER_SWAP,Swap Timer: {0},,Temporizador de Cambio: {0},,,,Cronômetro de Troca: {0},Tausch Zeit: {0},Licznik zamiany: {0},,,,,,
SPEEDOMETER_COYOTE,Coyote Timer: {0},,Temporizador de Coyote: {0},,,,Cronômetro de Coiote: {0},Coyote Zeit: {0},Licznik Coyote: {0},,,,,,
SPEEDOMETER_LATERAL,Lateral: {0},,,,,,,Geschwindigkeit: {0},Predkosc: {0},,,,,,
AUTOGLOBAL_NOTICE,"You have the auto-update global setting on, which automatically updates your global when you PB. Would you like to turn it off?<br><b>This message will only appear once.</b><br>(You can also turn it off at any time in the usual settings menu.)",,,,,,,,,,,自動更新グローバル設定がオンになっており、PB 時にグローバルが自動的に更新されます。オフにしますか?<br><b>このメッセージは 1 回だけ表示されます。</b><br>(通常の設定メニューでいつでもオフにすることもできます)。,,,
REBIND_CONTROL_START,Level Start,,,,,,,,,,,,,,
LEVELINFO_TIME_PREVIOUS,Previous Run Time,,,,,,,,,,,,,,
RUSHTIMER_TIMELEFT,Rush pause time left: {0}:{1:D2},,,,,,,,,,,,,,
SETTING_MEDALS,Medals,,Medallas,Medallas,,,Medalhas,Medaillien,Medale,,,メダル,,,
SETTING_MEDALS_COMMEDALS_T,Community Medals,,Medallas de la Comunidad,Medallas de la Comunidad,,,Medalhas da Comunidade,Community Medaillien,Medale społeczeńości,,,コミュニティメダル,,,
SETTING_MEDALS_COMMEDALS_D,Shows new community medals past the developer red times to aim for.,,Muestra nuevas medallas de la comunidad más allá de los tiempos rojos de desarrollador.,Muestra nuevas medallas de la comunidad más allá de los tiempos rojos de desarrollador.,,,,"Zeigt Community Medaillien an, die besser als die Entwickler roten Medaillien sind","Pokazuje medale społeczeności, trudniejsze od czerwonych czasów developerskich",,,開発者のタイム(レッドメダル)を超えたコミニティメダル(エメラルド、アメジスト、サファイア)タイムを表示しますか？,,,
SETTING_MEDALS_HUESHIFT_T,Hue Shift,,Cambio de tono,Cambio de tono,,,Mudança de Matiz,Farbtonverschiebung,Zmiana oddcienia,,,メダルの色の変更,,,
SETTING_MEDALS_HUESHIFT_D,Changes the hue of *all* medals (and related) help aid colorblind users in telling them apart.,,Cambia la matiz de *todas* las medallas (y parecidos) para ayudar a usuarios con daltonismo a diferenciarlas,Cambia la matiz de *todas* las medallas (y parecidos) para ayudar a usuarios con daltonismo a diferenciarlas,,,Muda o matiz de *todas* as medalhas (e afins) para ajudar usuários daltônicos a diferenciá-las.,Verändert die Farben der Community Medaillien für Personen mit Farbenblindheit,Zmienia odcień *wszystkich* medali (i powiązanych ikon) żeby łatwiej było je rozróżnić dla daltonistów. ,,,色弱の人が色を識別しやすいように、メダルの色相を調整します。,,,
SETTING_MEDALS_OLDSTYLE_T,Stamp Style,,Estilo de estampilla,Estilo de estampilla,,,Estilo de Carimbo,Stempel Medaillen,Styl stempla,,,スタンプスタイル,,,
SETTING_MEDALS_OLDSTYLE_D,Display the community medals in the level info as it was pre-3.0.0.,,Mostrar las medallas de comunidad en la información del nivel como se mostraban pre-3.0.0.,Mostrar las medallas de comunidad en la información del nivel como se mostraban pre-3.0.0.,,,Mostra as medalhas da comunidade nas informações da fase como era pré-3.0.0.,Stellt die Community Medaillien als Stempel dar,Wyświetla medale społeczności na te przed wersją 3.0.0,,,チェックを付けると、Neon Lite 3.0以降の表示方法で各コミュニティメダルタイムを確認できます。<br>チェックを外すと、Neon Lite pre-3.0以前の表示方法にします。,,,
SETTING_MEDALS_OVERRIDEURL_T,Extension URL,,,,,,,,Link do rozszerzenia,,,,,,
